species	NCBI.taxid	mass_kg	mass_db	lifespan_days	lifespan_db	length_cm	length_db	polymorphism_derived_Ne
Caloenas_nicobarica	187106	0.519	AnAge;EOL	7482.5	AnAge;EOL	NA	NA	NA
Calypte_anna	9244	0.0045	ADW	3102.5	AnAge;ADW	10	ADW	NA
Camarhynchus_parvulus	87175	0.016	EOL	5475	AnAge	11	EOL image	NA
Camelus_bactrianus	9837	690	ADW	18250	ADW	345	ADW	NA
Camelus_dromedarius	9838	690	ADW	18250	ADW	NA	NA	NA
Camponotus_floridanus	104421	NA	NA	3650	ADW Camponotus pennsylvanicus	1.9	ADW Camponotus pennsylvanicus	NA
Campylorhamphus_procurvoides	190295	0.036	EOL	NA	NA	NA	NA	NA
Canis_lupus	9612	80	ADW	10620	EOL	130	ADW	57413.9539923204
Capitella_teleta	283909	NA	NA	NA	NA	10	EOL	NA
Capra_hircus	9925	113	ADW	8030	ADW	170	ADW text	161043.257923824
Caranx_melampygus	181461	43.5	fishbase	NA	NA	117	EOL;fishbase	NA
Carassius_auratus	7957	3	ADW	15695	ADW	48	EOL;fishbase	NA
Carassius_gibelio	101364	3	EOL;fishbase	3650	EOL;fishbase	46.6	EOL;fishbase	NA
Carcharodon_carcharias	13397	3000	ADW	18250	AnAge	720	EOL	NA
Caretta_caretta	8467	545	ADW	28105	AnAge	213	ADW	NA
Cariama_cristata	54380	1.4	EOL	NA	NA	NA	NA	NA
Carlito_syrichta	1868482	0.1192	AnAge	5840	AnAge	40	EOL	NA
Castor_canadensis	51338	32	ADW	8541	AnAge	117	ADW	NA
Cathartes_aura	43455	2.2	AnAge	7592	AnAge	81	ADW	NA
Catharus_fuscescens	159581	0.0288	AnAge;EOL	3686.5	AnAge;EOL	NA	NA	NA
Catharus_ustulatus	91951	0.0279	AnAge;EOL	4015	ADW;AnAge;EOL	19.3	ADW error unit	NA
Cavia_porcellus	10141	1.1	ADW	5402	ADW	25.4	ADW	NA
Centrocercus_urophasianus	9002	3.19	EOL	2555	AnAge;ADW	NA	NA	NA
Centropus_bengalensis	1463675	0.29	EOL	NA	NA	NA	NA	NA
Centropus_unirufus	1118519	0.188	EOL	NA	NA	NA	NA	NA
Cephalopterus_ornatus	114276	0.38	EOL	NA	NA	NA	NA	NA
Cephus_cinctus	211228	NA	NA	7	Rand 2019	0.86	EOL image	NA
Cepphus_grylle	28697	0.55	ADW	10913.5	AnAge	58	EOL	NA
Ceratitis_capitata	7213	NA	NA	178.85	AnAge	0.5	ADW format	NA
Ceratotherium_simum	9807	3600	ADW	18250	ADW	377	ADW	26500.5061553706
Cercocebus_atys	9531	14	ADW	9782	ADW	131.5	EOL	NA
Certhia_brachydactyla	73330	0.0082	AnAge;EOL	NA	NA	NA	NA	NA
Certhia_familiaris	73333	0.0129	ADW	2993	AnAge	15	ADW	NA
Cervus_canadensis	1574408	275	EOL	NA	NA	NA	NA	NA
Cervus_elaphus	9860	497	ADW	11497.5	AnAge	270	ADW	97229.9272601217
Cettia_cetti	68486	0.0185	ADW	3394.5	AnAge;EOL	NA	NA	NA
Ceuthmochares_aereus	1961834	0.08	EOL	NA	NA	NA	NA	NA
Chaenocephalus_aceratus	36190	3.7	fishbase	NA	NA	72	EOL;fishbase	NA
Chaetops_frenatus	221966	0.061	EOL	NA	NA	NA	NA	NA
Chaetorhynchus_papuensis	254446	0.045	EOL	NA	NA	NA	NA	NA
Chaetura_pelagica	8897	0.0228	AnAge;ADW	5475	AnAge	NA	NA	NA
Chanos_chanos	29144	14	fishbase;ADW	5475	AnAge;fishbase;ADW	180	fishbase;ADW;EOL	NA
Charadrius_vociferus	50402	0.088	AnAge;ADW	4380	ADW	27	ADW	NA
Chauna_torquata	30388	4.4	EOL	NA	NA	NA	NA	112815.563229559
Cheilinus_undulatus	241271	191	fishbase	11680	fishbase;EOL	229	fishbase;EOL	NA
Chelmon_rostratus	109905	NA	NA	3650	AnAge;EOL;fishbase	20	fishbase;EOL	NA
Chelonia_mydas	8469	200	ADW	27375	AnAge;ADW	120	ADW	NA
Chelonoidis_abingdonii	106734	88.60592	EOL	64605	EOL Chelonoidis abingdonii	NA	NA	NA
Chelonus_insularis	460826	NA	NA	NA	NA	0.5	EOL image	NA
Chelydra_serpentina	8475	16	ADW	17155	AnAge;ADW	45	ADW	NA
Chiloscyllium_plagiosum	36176	NA	NA	9125	AnAge;EOL;fishbase	95	EOL;fishbase	NA
Chiloscyllium_punctatum	137246	NA	NA	NA	NA	132	fishbase;EOL	NA
Chinchilla_lanigera	34839	0.8	ADW	7300	ADW text	38	ADW	NA
Chionis_minor	227182	0.73	EOL	NA	NA	NA	NA	NA
Chionoecetes_opilio	41210	1.35	ADW	6935	ADW	16.5	ADW text	NA
Chironomus_riparius	315576	NA	NA	NA	NA	NA	NA	481447.375312357
Chiroxiphia_lanceolata	296741	0.0185	EOL	NA	NA	NA	NA	NA
